Industry code,sector,year,sector_output,rgdpo,emp,rkna,avh,gdp_per_worker,capital_per_worker,output_per_worker,output_per_hour,sector_output_growth,output_per_worker_growth,output_per_hour_growth,gdp_per_worker_growth
27.0,Basic metals,2005,115.5,3773967.25,457.638061523438,0.29015788435936,2457.62,8246.620129096747,0.0006340335491183779,10660.06,4.39,,,,
27.0,Basic metals,2006,132.6,4229441.5,457.973663330078,0.319190889596939,2455.16,9235.11948099009,0.0006969634176690345,11449.72,4.72,0.13806654778991412,0.07146122831308865,0.07247957251038395,0.11321011632892741
27.0,Basic metals,2007,156.3,4740285.5,459.028869628906,0.354596644639969,2459.84,10326.769869250713,0.000772493122113728,12257.85,5.03,0.16444015967566905,0.06820127252938946,0.06361118451418402,0.11172598865353578
27.0,Basic metals,2008,159.0,5023850.0,460.812957763672,0.388070732355118,2481.02,10902.145687006663,0.000842143706718725,12582.15,5.12,0.017126964792800514,0.02611259478765149,0.01773445493976844,0.05422008181611382
27.0,Basic metals,2009,162.4,5374382.5,463.632537841797,0.423895448446274,2502.14,11591.901045206352,0.0009142918450450036,13501.89,5.44,0.021158225507345918,0.07055053277548673,0.06062462181643502,0.061347046627822976
27.0,Basic metals,2010,176.7,6215798.0,467.412475585938,0.464844554662704,2506.39,13298.314282707179,0.0009945060924614498,14566.87,5.85,0.0843909515980732,0.07592009650078246,0.07266260037591366,0.1373306130246199
27.0,Basic metals,2011,192.1,6772307.0,472.214385986328,0.510516464710236,2520.99,14341.593989887631,0.0010811116303538811,15186.0,6.07,0.08356269044886044,0.041624178644962484,0.03691694382764199,0.07552670435624975
27.0,Basic metals,2012,195.8,7319223.0,469.831085205078,0.55702418088913,2543.57,15578.413669255642,0.0011855839224558604,15879.15,6.3,0.019077660321898726,0.04463297714699266,0.0371910283260799,0.08272223096417797
24.0,Chemicals and chemical products,2005,101.0,3773967.25,457.638061523438,0.29015788435936,2457.62,8246.620129096747,0.0006340335491183779,10660.06,4.39,-0.6619732132551501,-0.39850288069835393,-0.36122040631040697,-0.6360827817714476
24.0,Chemicals and chemical products,2006,110.4,4229441.5,457.973663330078,0.319190889596939,2455.16,9235.11948099009,0.0006969634176690345,11449.72,4.72,0.08898961700173569,0.07146122831308865,0.07247957251038395,0.11321011632892741
24.0,Chemicals and chemical products,2007,118.4,4740285.5,459.028869628906,0.354596644639969,2459.84,10326.769869250713,0.000772493122113728,12257.85,5.03,0.06995858860690962,0.06820127252938946,0.06361118451418402,0.11172598865353578
24.0,Chemicals and chemical products,2008,115.0,5023850.0,460.812957763672,0.388070732355118,2481.02,10902.145687006663,0.000842143706718725,12582.15,5.12,-0.02913659408665481,0.02611259478765149,0.01773445493976844,0.05422008181611382
24.0,Chemicals and chemical products,2009,120.7,5374382.5,463.632537841797,0.423895448446274,2502.14,11591.901045206352,0.0009142918450450036,13501.89,5.44,0.04837599974023554,0.07055053277548673,0.06062462181643502,0.061347046627822976
